solution_id,source_id,abs_mag_bol,abs_mag_bol_error,rsg_flag,bolometric_corr,bolometric_corr_error,frequency,frequency_error
369295549951641967,1017587536082647424,-2.859113835925058,0.770267956739161,false,-2.856332861582537,0.01429232716266256,0.005202489445236957,6.922251869147724E-4
369295549951641967,1062145210438340864,-3.023426315531472,1.7136421597998235,false,-1.9304436463464596,0.02203185398331056,0.004927290608100107,1.670234156774028E-4
369295549951641967,1020598239437675776,-3.112969483940379,0.38061138985795806,false,-1.7675132934808069,0.010746198379092943,0.0025681028521646904,9.456918039134614E-4
369295549951641967,1065318023039093248,-2.898461613322434,0.8478114273937422,false,-1.7136353820424013,0.007522479935984685,0.002652138199085184,0.0012294664220871916
369295549951641967,1047773425232306560,-3.011183458749054,0.912250936427373,false,-3.2788065298091458,0.014075177183603708,0.002733001922844606,3.7369574286102487E-4
369295549951641967,1027399234251398144,-3.1788339341329834,0.7509339958292682,false,-2.8021648355824813,0.014141939745093347,0.004085172905267195,1.7353862551519253E-4
369295549951641967,1016773485162002944,-4.662938027876914,2.5087940898965306,false,-2.010181298820466,0.007384274994788054,0.001595,2.2049906593671237E-4
369295549951641967,1043746670054434816,-1.2034794673627758,0.6736898171853825,false,-0.9252234650710108,0.005601918972700159,0.0028568319132532207,0.0017379481388564717
369295549951641967,1033950708644929792,-2.708478926066917,2.1500966109303716,false,-0.6384091702369192,0.007715126690235013,0.002019810889497717,0.0023556758624827764
369295549951641967,1046469816758286336,-3.4883412777925606,0.5144160573939183,false,-1.6247156054332257,0.008131235885122724,0.002034215633713508,0.0014288690360989315
369295549951641967,1016342029926802688,-4.489609852577276,0.8039743935398449,false,-1.9787031968398896,0.00879426291874468,0.004964347935017822,8.737992320221413E-4
369295549951641967,1032782404525875072,-4.065047687648741,1.7835944571375084,false,-0.5071772808014285,0.005791929706158258,0.004411453132304826,0.0024733225236819494
369295549951641967,1003706751537953152,-3.901462809192415,1.3375585883663554,false,-1.529564042933983,0.006695885316479728,0.0034690917352609048,0.0023132374187451762
369295549951641967,1006571838322053888,-5.885338551696037,0.9333536128740817,false,-4.454017858294136,0.061679202368408355,0.002391610768427805,1.683572218217663E-4
369295549951641967,1008097303330078976,-2.4660593227563794,0.9559311991991076,false,-1.5101673301965832,0.006867631465848612,0.0032760403890394205,0.0021932410317697442
369295549951641967,1001562875662886656,-4.9825872557917865,1.1576903783139507,false,-3.6669745627563723,0.025651679626561803,0.003338851886188615,1.8179601415938874E-4
369295549951641967,935367877622751872,-4.333764593548423,1.7908785661820215,false,-1.7728069851262274,0.007597730182586323,0.0017125228864549745,0.0016250323969385003
369295549951641967,978173686359096320,-6.9424542479658555,10.95870953478195,true,-0.71,0.3,0.004079698447660885,0.002550689356785711
369295549951641967,920249146065824640,-3.63098993134178,0.20570935919182734,false,-1.5967071163318607,0.015123829166086,0.015567052757066081,0.0025314587930511173
369295549951641967,996971555623177856,-3.899540018014111,0.9364847697914227,false,-3.8219968438770744,0.018753340326610142,0.0029966740778402195,3.7526650159631713E-4
369295549951641967,972599677803043328,-5.116845243691655,2.386072487927652,false,-3.408983724087712,0.014434167997432596,0.002812127237004651,3.5787977820209035E-4
369295549951641967,1008796317847127680,-6.703949222612028,16.49902072637187,true,-0.71,0.3,0.002088344451432868,0.001164934709793781
369295549951641967,989244733362706688,-4.22417387615817,1.5236903392395404,false,-1.7817164616471477,0.007887466539363749,0.0022955448337791565,4.929347989180816E-4
369295549951641967,972510548641992576,-5.189579120375029,6.74979331597938,true,-0.71,0.3,0.007898921377118997,0.0022574243287300263
369295549951641967,926019280008824704,-10.179834469491059,84.49819615508055,true,-0.71,0.3,0.005965447293354424,0.0014581331289848323
369295549951641967,1008231993504212608,-3.173840342986054,1.582043791250405,false,-1.7641400351742251,0.00641618184697535,0.00236019422193583,0.0016406947634385568
369295549951641967,925886136022466432,-4.643805930993324,5.648608922434319,false,-0.6916940907074598,0.005799409251509094,0.002581771342189588,0.0017787660565889043
369295549951641967,1000590078453940608,-3.767196591695379,1.7190349608675481,false,-0.8533192636496716,0.005763204789071184,0.00833481831784359,5.806714134067587E-4
369295549951641967,1008219697015010688,,,false,-1.7940233073813332,0.010383820320036657,0.004735345930084669,7.60677856034524E-4
369295549951641967,977266932863611392,-4.746863754494864,5.313617178589115,true,-0.71,0.3,0.003008302675202437,0.001537304092431192
369295549951641967,1006082791870311424,-2.580177102002237,2.2152210055934414,false,-1.2650101442212194,0.008170465118059802,0.0019682923011941074,0.0015545207501563702
369295549951641967,936408427939996800,-3.643785055466635,2.589807193748454,false,-4.997547273923987,0.10813559058384299,0.005928247870884726,4.6105572306417064E-4
369295549951641967,921452144929086848,-5.915934775477329,3.0985149486507595,false,-5.5238246793877686,0.02766967997736917,0.004134019784626044,2.6304686998392476E-4
369295549951641967,994022802877581184,-3.597156955745337,4.131000001045356,false,-1.5552200135005163,0.006657459006072991,0.004046501193075738,2.1278736169366203E-4
369295549951641967,1003091639205756288,-4.829604859761272,8.410364778770484,false,-1.256126519076904,0.00737599927425859,0.003121687373419511,0.0026836077510362724
369295549951641967,992807945606808960,,,false,-3.2813378793903683,0.01426499715410888,0.0038545025599663633,3.5282079187200606E-4
369295549951641967,1003699944014218880,,,false,-1.6993080887778296,0.008120419505821083,0.004514492790240798,7.445931888744841E-4
369295549951641967,960023051488788736,,,false,-3.3415992174472664,0.026404138280933784,0.0030183314877711906,2.16503072172056E-4
369295549951641967,1008151286776071936,,,false,-2.4825267675553695,0.027969207048792726,0.0038255835387263695,1.9154350785658726E-4
